x,y1,y2,y3,y4,y5
8092,1.088032,1.008157,1.000810,1.000081,1.000008
8102,1.088150,1.008167,1.000811,1.000081,1.000008
8112,1.088268,1.008177,1.000812,1.000081,1.000008
8122,1.088387,1.008187,1.000813,1.000081,1.000008
8132,1.088505,1.008198,1.000814,1.000081,1.000008
8142,1.088624,1.008208,1.000815,1.000081,1.000008
8152,1.088742,1.008218,1.000816,1.000082,1.000008
8162,1.088861,1.008228,1.000817,1.000082,1.000008
8172,1.088980,1.008238,1.000818,1.000082,1.000008
8182,1.089098,1.008248,1.000819,1.000082,1.000008
8192,1.089217,1.008259,1.000820,1.000082,1.000008
