x,y1,y2,y3,y4
65527,195.758894,34613.423871,578047.053518,3241253.178324
65528,127.274931,11340.069130,126258.630920,530973.742540
65529,82.400717,3714.960250,27577.918556,86983.868503
65530,52.996366,1216.688151,6023.511417,14249.664798
65531,33.728518,398.147873,1315.402344,2334.201336
65532,21.102635,129.955141,286.998770,382.156369
65533,12.828979,42.081102,62.358678,62.358678
65534,7.407215,13.288504,13.288504,13.288504
65535,3.854244,3.854244,3.854244,3.854244
65536,1.525879,1.525879,1.525879,1.525879
